  Freq. No. =   1,  f = 5.1077e+03 (Hz),  k = (0.1832D+01, 0.0000D+00):
 Solution on the Boundary:
Elements: this line is just for fun 
1 ( -5.766482e+05 , 9.177774e+06 ) 
2 ( -8.555373e+05 , -8.393829e+06 ) 
3 ( -1.431422e+06 , -1.413004e+06 ) 
4 ( -7.220435e+06 , -9.220025e+06 ) 
5 ( -8.506639e+06 , -7.339797e+04 ) 
6 ( 7.374401e+05 , -1.713337e+06 ) 
7 ( -6.385767e+06 , 4.189128e+06 ) 
8 ( 1.195904e+06 , -1.071477e+07 ) 
9 ( -5.582302e+05 , -3.278028e+06 ) 
10 ( 7.161254e+06 , 3.441060e+05 ) 
11 ( -4.090231e+06 , -7.731008e+06 ) 
12 ( 9.149213e+06 , -2.522083e+06 ) 
13 ( 7.956712e+06 , -3.129607e+06 ) 
14 ( 5.569769e+06 , 1.551918e+06 ) 
15 ( 6.689984e+06 , -8.225849e+06 ) 
16 ( 1.760989e+06 , -1.546878e+06 ) 
17 ( -2.405856e+06 , -8.993286e+06 ) 
18 ( -1.383788e+07 , -1.303499e+07 ) 
19 ( -6.870428e+06 , -1.323979e+07 ) 
20 ( -7.085508e+06 , -8.845433e+06 ) 
21 ( 5.361993e+06 , -3.097718e+06 ) 
22 ( -1.574690e+07 , -8.387415e+06 ) 
23 ( 3.482680e+06 , -6.685745e+06 ) 
24 ( -1.276883e+07 , -5.343857e+06 ) 
25 ( 3.907677e+06 , 2.549417e+06 ) 
26 ( -1.218410e+07 , -5.987410e+06 ) 
27 ( -2.550053e+06 , 1.653733e+06 ) 
28 ( 1.447693e+06 , -1.115656e+06 ) 
29 ( -1.279966e+07 , -4.301944e+06 ) 
30 ( -6.734700e+05 , 1.435150e+06 ) 
31 ( -7.958767e+06 , 1.460885e+07 ) 
32 ( -9.133047e+06 , 1.153537e+07 ) 
33 ( -9.307356e+06 , 1.068711e+07 ) 
34 ( -5.635776e+06 , 1.921219e+07 ) 
35 ( -4.810214e+06 , 2.315819e+07 ) 
36 ( -9.453432e+05 , 7.485410e+06 ) 
37 ( 2.767835e+06 , 5.299214e+06 ) 
38 ( 2.102454e+06 , 1.928050e+06 ) 
39 ( 3.472691e+05 , -4.104557e+05 ) 
40 ( -2.408350e+06 , 1.302628e+07 ) 
41 ( 1.411428e+06 , 1.135411e+07 ) 
42 ( -1.934553e+06 , 7.946161e+06 ) 
43 ( -3.870439e+06 , 8.296959e+06 ) 
44 ( 5.374999e+06 , 5.634592e+06 ) 
45 ( 7.922227e+06 , 3.453399e+05 ) 
46 ( -3.684932e+04 , 1.796847e+05 ) 
47 ( -5.083430e+06 , 6.166021e+06 ) 
48 ( -1.588516e+06 , 6.216511e+06 ) 
49 ( 1.392656e+07 , -8.365596e+06 ) 
50 ( 1.623797e+06 , 1.019474e+07 ) 
51 ( 1.915454e+07 , -5.757114e+06 ) 
52 ( 6.386455e+06 , 1.355194e+07 ) 
53 ( 3.956809e+06 , 7.258651e+06 ) 
54 ( 4.360562e+04 , 1.184273e+07 ) 
55 ( -5.799870e+06 , 1.034270e+07 ) 
56 ( -2.350042e+06 , 1.796049e+07 ) 
57 ( -6.501722e+05 , -1.677685e+06 ) 
58 ( 2.961090e+06 , -2.970221e+06 ) 
59 ( -6.438352e+06 , -8.416045e+05 ) 
60 ( -3.415143e+05 , -1.441643e+06 ) 
61 ( 4.958472e+05 , 1.345230e+06 ) 
62 ( -1.642421e+07 , 8.945816e+06 ) 
63 ( 3.265854e+06 , 1.618590e+07 ) 
64 ( 3.201223e+06 , -1.030488e+06 ) 
65 ( -2.947148e+06 , -1.189593e+07 ) 
66 ( 1.178782e+07 , 1.066514e+07 ) 
67 ( -3.545552e+06 , 8.735642e+06 ) 
68 ( 3.298880e+06 , 1.095404e+07 ) 
69 ( -5.267152e+06 , -9.942230e+06 ) 
70 ( 4.144518e+06 , -1.143033e+07 ) 
71 ( 5.598268e+06 , -4.147345e+06 ) 
72 ( 1.765058e+06 , 4.566163e+06 ) 
73 ( 6.550158e+06 , -6.241725e+06 ) 
