  Freq. No. =   1,  f = 6.0415e+03 (Hz),  k = (0.1832D+01, 0.0000D+00):
 Solution on the Boundary:
Elements: this line is just for fun 
1 ( -2.957584e+06 , -4.419648e+06 ) 
2 ( -1.594683e+06 , -4.131766e+06 ) 
3 ( -1.933946e+06 , -6.469475e+05 ) 
4 ( -1.243779e+06 , -4.662957e+06 ) 
5 ( -1.487546e+06 , -4.885892e+06 ) 
6 ( -2.409386e+06 , -3.057202e+06 ) 
7 ( -1.219479e+06 , -4.866901e+06 ) 
8 ( -1.995552e+06 , -4.357263e+06 ) 
9 ( 2.970431e+06 , 2.358141e+06 ) 
10 ( 9.407339e+05 , 2.451779e+06 ) 
11 ( 3.624541e+06 , 3.387147e+06 ) 
12 ( 5.257798e+06 , 2.334915e+06 ) 
13 ( 3.216558e+06 , 6.888059e+06 ) 
14 ( -2.176624e+05 , 1.256471e+06 ) 
15 ( 4.206545e+06 , 6.640634e+06 ) 
16 ( 1.947911e+06 , 2.795603e+06 ) 
17 ( -1.872613e+06 , -2.077516e+06 ) 
18 ( -3.894828e+06 , -2.574506e+06 ) 
19 ( -5.503816e+06 , -2.622670e+06 ) 
20 ( -5.076245e+06 , -2.281056e+06 ) 
21 ( -1.928640e+06 , -2.976290e+06 ) 
22 ( -2.036520e+06 , -2.210147e+06 ) 
23 ( -3.697151e+06 , -3.788727e+06 ) 
24 ( -2.486804e+06 , -4.653584e+06 ) 
25 ( 4.080806e+06 , 4.494987e+06 ) 
26 ( 4.145335e+06 , 1.762437e+06 ) 
27 ( 3.598247e+06 , 1.848728e+06 ) 
28 ( 1.507353e+06 , 5.704741e+06 ) 
29 ( 3.226101e+06 , 2.398008e+06 ) 
30 ( 5.128732e+06 , 3.305863e+06 ) 
31 ( 3.654080e+06 , 5.770402e+06 ) 
32 ( 1.911688e+06 , 3.824082e+06 ) 
33 ( 4.832049e+06 , -3.982296e+05 ) 
34 ( 2.843043e+06 , 7.469147e+06 ) 
35 ( 9.715647e+05 , 1.596836e+06 ) 
36 ( 3.399696e+06 , 5.466549e+06 ) 
37 ( 1.021426e+06 , 4.164384e+06 ) 
38 ( 2.806773e+06 , 4.010878e+06 ) 
39 ( 2.668162e+06 , 1.410388e+06 ) 
40 ( 5.704640e+06 , 2.514161e+06 ) 
41 ( -3.449369e+06 , -2.750848e+06 ) 
42 ( -4.064300e+06 , -4.322807e+06 ) 
43 ( -1.529839e+06 , -2.050304e+06 ) 
44 ( -2.391172e+06 , -1.194734e+06 ) 
45 ( -2.803842e+06 , 1.203514e+06 ) 
46 ( -1.290569e+06 , 1.153700e+06 ) 
47 ( -2.196384e+05 , -1.609263e+06 ) 
