  Freq. No. =   1,  f = 6.0418e+03 (Hz),  k = (0.1832D+01, 0.0000D+00):
 Solution on the Boundary:
Elements: this line is just for fun 
1 ( 3.678731e+06 , -4.713562e+06 ) 
2 ( 3.680520e+06 , -9.942539e+05 ) 
3 ( 2.554631e+06 , 2.778711e+06 ) 
4 ( 9.505408e+04 , -7.108726e+05 ) 
5 ( -1.727823e+06 , -9.422347e+05 ) 
6 ( -1.385574e+05 , -3.167269e+06 ) 
7 ( -3.003517e+06 , -1.426183e+06 ) 
8 ( -7.400855e+05 , -1.677490e+06 ) 
9 ( 1.430103e+06 , 2.666876e+06 ) 
10 ( 4.024269e+06 , 4.761946e+06 ) 
11 ( 2.711505e+06 , 2.181803e+06 ) 
12 ( 2.751129e+06 , 3.142096e+06 ) 
13 ( -3.101986e+06 , -5.454449e+06 ) 
14 ( -8.545169e+04 , -3.275324e+06 ) 
15 ( -3.107237e+06 , -4.538974e+06 ) 
16 ( -3.520336e+05 , -8.869711e+04 ) 
17 ( 3.161139e+06 , 3.833895e+06 ) 
18 ( 2.049033e+06 , 3.866173e+06 ) 
19 ( 2.300793e+06 , 3.177109e+06 ) 
20 ( 1.301086e+06 , 1.734465e+06 ) 
21 ( -2.654744e+06 , -3.979570e+06 ) 
22 ( -2.897996e+06 , -4.099413e+06 ) 
23 ( -3.858694e+06 , -2.526180e+06 ) 
24 ( -4.298343e+05 , -2.801979e+06 ) 
25 ( 1.115950e+06 , 8.094416e+05 ) 
26 ( 1.071193e+06 , 3.429310e+06 ) 
27 ( 9.098843e+05 , 1.459862e+06 ) 
28 ( 4.102969e+06 , 7.541037e+05 ) 
29 ( -2.278415e+06 , -2.274242e+06 ) 
30 ( -1.608660e+06 , -1.072278e+06 ) 
31 ( -7.474253e+05 , -2.740115e+06 ) 
32 ( -1.352432e+06 , -9.815611e+05 ) 
33 ( -2.348735e+06 , 9.674089e+05 ) 
34 ( 1.108980e+06 , 2.241829e+06 ) 
35 ( -2.202711e+06 , -1.706841e+06 ) 
36 ( 1.088474e+05 , -7.707463e+05 ) 
