  Freq. No. =   1,  f = 8.7415e+03 (Hz),  k = (0.1832D+01, 0.0000D+00):
 Solution on the Boundary:
Elements: this line is just for fun 
1 ( 2.094650e+06 , 1.095560e+07 ) 
2 ( 7.454330e+06 , 2.210370e+07 ) 
3 ( 2.614027e+06 , 6.979569e+06 ) 
4 ( 1.203795e+07 , 7.187903e+06 ) 
5 ( -5.965134e+05 , -3.539723e+06 ) 
6 ( 1.474470e+07 , 1.107864e+06 ) 
7 ( -3.021293e+06 , -2.555249e+07 ) 
8 ( -2.186631e+05 , 4.099059e+06 ) 
9 ( 2.065046e+07 , 7.814115e+06 ) 
10 ( -1.918519e+07 , 5.752990e+06 ) 
11 ( 1.179092e+06 , 8.068490e+06 ) 
12 ( -6.043575e+06 , 1.142552e+07 ) 
13 ( 1.814433e+07 , 4.149950e+07 ) 
14 ( -1.399946e+07 , 7.244062e+06 ) 
15 ( 2.913791e+07 , 1.859637e+07 ) 
16 ( 4.231285e+06 , 4.765990e+06 ) 
17 ( -6.211678e+06 , 2.614452e+07 ) 
18 ( 1.905060e+07 , -1.270942e+07 ) 
19 ( -1.798098e+07 , 8.052543e+06 ) 
20 ( -6.422057e+06 , -5.719335e+05 ) 
21 ( -1.026534e+07 , 7.220033e+06 ) 
22 ( 4.703693e+06 , 2.010954e+07 ) 
23 ( -3.465320e+06 , 3.378503e+07 ) 
24 ( 7.555964e+05 , 6.630278e+06 ) 
25 ( -5.077176e+06 , 5.863303e+06 ) 
26 ( -1.445845e+06 , -1.554186e+07 ) 
27 ( -1.061871e+07 , -1.315071e+07 ) 
28 ( -1.015579e+07 , -3.046811e+07 ) 
29 ( 2.566520e+06 , 4.513943e+06 ) 
30 ( -4.448714e+06 , -8.474784e+06 ) 
31 ( -1.277184e+06 , -2.018994e+07 ) 
32 ( -2.937478e+07 , 9.172510e+06 ) 
33 ( 1.322073e+07 , 1.820315e+07 ) 
34 ( 4.351118e+06 , 3.849155e+07 ) 
35 ( -9.984430e+06 , 3.016487e+07 ) 
36 ( -1.238502e+07 , -7.363061e+05 ) 
37 ( -2.422521e+07 , 3.678447e+06 ) 
38 ( 2.502285e+07 , 1.088723e+07 ) 
39 ( 1.908554e+07 , -3.874079e+06 ) 
40 ( 4.253570e+06 , 3.674668e+07 ) 
41 ( -1.510796e+07 , -2.020070e+07 ) 
